compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id
default,2,1,poisson,1,120,196.85697269439697,120,1.6404747724533082,0.6095796270640075,41.243577629327774,3.824380397796631,83.22839641571045,77.74710154533386,81.02414345741272,83.07641911506653,stabilityai/sd-turbo
default,2,2,poisson,1,120,153.503741979599,120,1.2791978498299916,0.7817399006204571,19.23654311696688,4.223622560501099,37.39980721473694,33.098727226257324,34.67313575744629,36.55004239082336,stabilityai/sd-turbo
default,2,4,poisson,1,120,139.94110465049744,120,1.1661758720874786,0.8575035926699286,14.738632055123649,3.419406652450561,31.8996365070343,27.13296675682068,28.41163110733032,31.035880088806152,stabilityai/sd-turbo
default,2,8,poisson,1,120,143.27284717559814,120,1.1939403931299846,0.8375627508325114,15.890780377388,4.219636917114258,31.680486917495728,24.45206379890442,26.32965326309204,27.36309313774109,stabilityai/sd-turbo
default,2,1,poisson,1,120,308.65956950187683,120,2.572163079182307,0.3887778376470208,103.73591350515684,6.251957178115845,190.6600499153137,179.21685886383057,185.10004806518555,188.63232564926147,stabilityai/stable-diffusion-xl-base-1.0
default,2,2,poisson,1,120,242.8127224445343,120,2.0234393537044526,0.4942080414563598,64.92284237543741,8.111204862594604,136.626234292984,120.51660132408142,127.74824595451356,132.8561315536499,stabilityai/stable-diffusion-xl-base-1.0
default,2,4,poisson,1,120,213.3197112083435,120,1.7776642600695292,0.5625359200060012,49.89938446680705,7.926321744918823,93.23888158798218,85.05095553398132,88.22589874267578,92.30619478225708,stabilityai/stable-diffusion-xl-base-1.0
default,1,2,poisson,1,120,139.4314363002777,120,1.1619286358356475,0.8606380539720582,12.432126732667289,2.183722496032715,25.581031560897827,23.50610327720642,24.11247682571411,25.46894669532776,stabilityai/sd-turbo
default,1,4,poisson,1,120,128.57155919075012,120,1.0714296599229176,0.9333323851347772,8.109733931223552,2.8441479206085205,15.06205916404724,11.48349118232727,12.545050859451294,14.02089786529541,stabilityai/sd-turbo
default,1,8,poisson,1,120,130.87945771217346,120,1.0906621476014455,0.9168742146219824,11.57541502714157,3.3324546813964844,21.49334836006165,17.892462253570557,19.272172212600708,21.12483787536621,stabilityai/sd-turbo
default,1,16,poisson,1,120,144.2796928882599,120,1.2023307740688325,0.8317178779479123,11.345136072238288,4.556586503982544,20.80100178718567,16.296127796173096,17.615712642669678,19.6067533493042,stabilityai/sd-turbo
default,1,2,poisson,1,120,271.91575717926025,120,2.265964643160502,0.4413131524440862,85.55818233688673,5.603484630584717,153.90188717842102,146.92158222198486,150.02368807792664,153.42422556877136,stabilityai/stable-diffusion-xl-base-1.0
default,1,4,poisson,1,120,179.98815751075745,120,1.4999013125896454,0.6667105306238156,34.70523031949997,6.917309045791626,75.00740146636963,66.47992157936096,70.08846139907837,74.43712830543518,stabilityai/stable-diffusion-xl-base-1.0
default,1,8,poisson,1,120,176.62484312057495,120,1.471873692671458,0.6794061236226019,30.6078164656957,6.179949998855591,55.534480571746826,49.37725281715393,52.62077236175537,55.41003394126892,stabilityai/stable-diffusion-xl-base-1.0
mps,2,1,poisson,1,120,140.542466878891,120,1.1711872239907584,0.8538344506462026,13.586806631088256,1.796735763549805,30.511280059814453,26.46678733825684,27.58896112442017,29.51082873344421,stabilityai/sd-turbo
mps,2,2,poisson,1,120,129.20704340934753,120,1.076725361744563,0.9287419387797752,7.903832828998565,2.193166971206665,17.010223865509033,12.747313499450684,13.93572735786438,14.646546602249146,stabilityai/sd-turbo
mps,2,4,poisson,1,120,130.4669144153595,120,1.0872242867946624,0.9197734194737172,9.877401399612427,2.871821403503418,19.931004762649536,16.833577871322632,17.253535270690918,19.14741969108581,stabilityai/sd-turbo
mps,2,8,poisson,1,120,142.8769109249115,120,1.1906409243742624,0.8398837798436559,9.02507798075676,3.5694892406463623,19.34465503692627,13.319835901260376,15.50217342376709,19.188995361328125,stabilityai/sd-turbo
mps,2,1,poisson,1,120,267.2729682922363,120,2.227274735768636,0.448979186959124,80.15880810221036,5.434331893920898,148.79185795783997,136.21179747581482,141.13073778152466,145.06998205184937,stabilityai/stable-diffusion-xl-base-1.0
mps,2,2,poisson,1,120,179.1238169670105,120,1.4926984747250875,0.6699276625067708,33.75573664903641,6.550466775894165,73.60152196884155,63.72479772567749,69.72238278388977,73.12594246864319,stabilityai/stable-diffusion-xl-base-1.0
mps,2,4,poisson,1,120,173.51920771598816,120,1.4459933976332346,0.6915660898844868,29.17155901789665,7.39760684967041,54.154372453689575,48.03939247131348,50.1900315284729,51.22218322753906,stabilityai/stable-diffusion-xl-base-1.0
mps,2,8,poisson,1,120,164.53348875045776,120,1.3711124062538147,0.729334805402442,34.10562596122424,7.867962598800659,59.1552209854126,52.98378562927246,56.585158348083496,58.75317406654358,stabilityai/stable-diffusion-xl-base-1.0
default,2,8,poisson,1,120,193.3808240890503,120,1.6115068674087525,0.6205372252666633,50.644929176568986,8.10413670539856,92.29415440559389,85.04178071022034,88.39215326309204,92.0402307510376,stabilityai/stable-diffusion-xl-base-1.0
default,1,16,poisson,1,120,177.43902468681335,120,1.478658539056778,0.6762886586634737,43.12503616412481,6.78326940536499,75.3218903541565,67.17638659477234,72.07526516914368,75.30068778991699,stabilityai/stable-diffusion-xl-base-1.0
