compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time
default,2,2,constant,0.0,4,1.5509276390075684,4,0.3877319097518921,2.579101628854575,0.8929051160812378,0.4349582195281982,1.3509252071380615,1.3509252071380615,1.3509252071380615,1.3509252071380615,stabilityai/sd-turbo,0.0207718610763549
default,2,2,constant,0.0,4,1.5769057273864746,4,0.3942264318466186,2.5366132740411205,1.2130280137062073,1.0566534996032717,1.3693363666534424,1.3693363666534424,1.3693363666534424,1.3693363666534424,stabilityai/sd-turbo,0.5377256274223328
default,2,2,constant,0.0,4,2.7963833808898926,4,0.6990958452224731,1.4304190288554357,1.4284767508506775,0.3285887241363525,2.681975841522217,2.681975841522217,2.681975841522217,2.681975841522217,stabilityai/sd-turbo,1.1007736921310425
default,2,2,constant,0.0,4,0.8555471897125244,4,0.2138867974281311,4.67537039230303,0.4907642006874084,0.3326468467712402,0.6487948894500732,0.6487948894500732,0.6487948894500732,0.6487948894500732,stabilityai/sd-turbo,0.1753972172737121
default,2,2,constant,0.0,4,0.8328495025634766,4,0.2082123756408691,4.802788484219735,0.4847331643104553,0.327888011932373,0.6414847373962402,0.6414847373962402,0.6414847373962402,0.6414847373962402,stabilityai/sd-turbo,0.1738614439964294
default,2,2,constant,0.0,8,1.4744226932525637,8,0.1843028366565704,5.425852461855474,0.8101960122585297,0.3409085273742676,1.2788984775543213,1.2788984775543213,1.2788984775543213,1.2788984775543213,stabilityai/sd-turbo,0.4975425601005554
default,2,1,constant,0.0,4,1.062952756881714,4,0.2657381892204284,3.7631023336676126,0.6108617186546326,0.2550432682037353,0.9667670726776124,0.9667670726776124,0.9667670726776124,0.9667670726776124,stabilityai/sd-turbo,0.3741017580032348
default,2,1,constant,0.0,4,1.053450107574463,4,0.2633625268936157,3.797047407598523,0.6017733216285706,0.252535343170166,0.9543113708496094,0.9543113708496094,0.9543113708496094,0.9543113708496094,stabilityai/sd-turbo,0.3682917356491089
default,1,2,constant,0.0,4,0.8509180545806885,4,0.2127295136451721,4.700805181494359,0.4917376041412353,0.3333210945129394,0.6500754356384277,0.6500754356384277,0.6500754356384277,0.6500754356384277,stabilityai/sd-turbo,0.1775211095809936
default,2,4,constant,0.0,4,3.0004234313964844,4,0.7501058578491211,1.3331451681599098,2.6522014141082764,2.52111291885376,2.696563482284546,2.696563482284546,2.696563482284546,2.696563482284546,stabilityai/sd-turbo,2.028185606002808
default,2,4,constant,0.0,8,3.011271953582764,8,0.3764089941978454,2.656684657950514,1.583587110042572,0.5437142848968506,2.916395902633667,2.916395902633667,2.916395902633667,2.916395902633667,stabilityai/sd-turbo,1.101164549589157
default,2,4,constant,0.0,8,1.521329402923584,8,0.190166175365448,5.258558721488036,0.8623074889183044,0.6032812595367432,1.1211485862731934,1.1211485862731934,1.1211485862731934,1.1211485862731934,stabilityai/sd-turbo,0.314929187297821
default,1,8,constant,0.0,8,1.7520604133605957,8,0.2190075516700744,4.566052596699758,0.9640260636806488,0.9631085395812988,0.9651532173156738,0.9651532173156738,0.9651532173156738,0.9651532173156738,stabilityai/sd-turbo,0.0372154116630554
default,2,1,constant,0.0,40,7.835480451583862,40,0.1958870112895965,5.104983701658576,4.045118677616119,0.3897933959960937,7.682476997375488,7.237694978713989,7.621052980422974,7.682476997375488,stabilityai/sd-turbo,3.664129889011383
mps,2,1,constant,0.0,40,6.203025579452515,40,0.1550756394863128,6.448466073153037,2.955236518383026,0.2766315937042236,6.090525150299072,5.390876770019531,5.857402324676514,6.090525150299072,stabilityai/sd-turbo,2.689574313163757
