compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
mps,8,1,constant,0,64,23.51216554641724,64,0.3673775866627693,2.72199512518966,12.908801596611738,2.4535510540008545,23.38572406768799,21.95117712020874,22.44494366645813,23.38572406768799,stabilityai/sd-turbo,10.214075744152067,2.694725852459669
mps,2,2,constant,0,64,22.23059701919556,64,0.3473530784249306,2.878915035198453,11.376648623496294,1.2453863620758057,22.00475525856018,19.610937356948853,21.205917596817017,22.00475525856018,stabilityai/sd-turbo,10.109745886176825,1.2669027373194697
mps,4,2,constant,0,64,23.368677139282227,64,0.3651355803012848,2.7387087261528134,11.562832076102495,2.3629403114318848,23.24067640304565,19.34624481201172,20.44419312477112,23.24067640304565,stabilityai/sd-turbo,9.236062105745075,2.326769970357418
mps,8,2,constant,0,64,19.528009176254272,30,0.6509336392084758,1.5362549110474348,11.53460299173991,4.8002355098724365,19.396361827850345,16.713168144226074,17.601022005081177,19.396361827850345,stabilityai/sd-turbo,7.292787845929464,4.241815145810445
mps,2,4,constant,0,64,20.14732050895691,64,0.3148018829524517,3.1766010756391885,10.914634067565204,2.275458335876465,19.557795524597168,19.294002532958984,19.556341409683228,19.557795524597168,stabilityai/sd-turbo,8.495379414409399,2.419254653155804
mps,4,4,constant,0,64,20.665534496307373,64,0.3228989765048027,3.096943851679029,11.6652719527483,4.157387733459473,20.44975781440735,18.56612539291382,18.85647749900818,20.44975781440735,stabilityai/sd-turbo,7.484279844909906,4.180992107838392
mps,2,8,constant,0,64,19.93857288360596,64,0.3115402013063431,3.209858617946652,11.27574212104082,4.380111217498779,19.6058509349823,18.02103376388549,18.023120164871216,19.6058509349823,stabilityai/sd-turbo,7.285824738442898,3.9899173825979233
mps,2,1,constant,0,64,56.773096799850464,64,0.8870796374976635,1.1272945040434816,26.55736842378974,1.668694257736206,56.72897982597351,47.39680576324463,52.06807446479797,56.72897982597351,stabilityai/stable-diffusion-xl-base-1.0,24.983684472739697,1.573683951050043
mps,4,1,constant,0,64,42.56168007850647,64,0.6650262512266636,1.5037000391420128,18.47948942705989,2.079401731491089,42.51835489273071,33.445385694503784,37.9751832485199,42.51835489273071,stabilityai/stable-diffusion-xl-base-1.0,16.487068325281143,1.9924211017787457
mps,2,2,constant,0,64,38.31931948661804,64,0.5987393669784069,1.6701757979379102,18.01632807031274,1.978976011276245,38.27003836631775,33.448647260665894,36.67489647865296,38.27003836631775,stabilityai/stable-diffusion-xl-base-1.0,16.13341873511672,1.8829093351960184
mps,4,2,constant,0,64,30.9474880695343,30,1.0315829356511437,0.9693840072769252,15.857177702585856,3.66490650177002,28.865212202072144,27.172223806381226,28.864710569381717,28.865212202072144,stabilityai/stable-diffusion-xl-base-1.0,12.452439554532369,3.4047381480534877
mps,2,4,constant,0,64,31.367407083511353,64,0.4901157356798649,2.0403344092040796,16.388499703258276,3.5617098808288574,31.325952291488647,27.798670768737793,29.455360412597656,31.325952291488647,stabilityai/stable-diffusion-xl-base-1.0,12.950845271348953,3.4376544319093227
